,,,,,,,,
,Histórico de estoque,,,,,,,
,Data,Produto,,Código,Movimentação,,,Qtd
,31/01/2024 00:54,Rothmans Azul,,46,Venda,,,-1
,31/01/2024 00:48,Cachaça Chora Rita,,113,Venda,,,-1
,31/01/2024 00:16,Rothmans Global,,177,Venda,,,-1
,31/01/2024 00:16,Itaipava Latão,,28,Venda,,,-3
,31/01/2024 00:14,Água Tônica 350ml,,36,Venda,,,-2
,31/01/2024 00:07,Petra Latão,,30,Venda,,,-3
,31/01/2024 00:07,Malboro Vista Purple,,41,Venda,,,-1
,31/01/2024 00:05,Lucky Strike Double Fresh,,44,Venda,,,-1
,,,,,,,,
,7,, / 145,,,,"Gerado em 03/04/24
21:59:59",
,,,,,,,,
,,,,,,,,
,Histórico de estoque,,,,,,,
,Data,Produto,,Código,Movimentação,,,Qtd
,31/01/2024 00:00,Coca Cola Zero 350ml,,56,Venda,,,-2
,31/01/2024 00:00,Coca Cola 2L,,58,Venda,,,-1
,30/01/2024 23:33,Itaipava Latão,,28,Venda,,,-1
,30/01/2024 23:31,Amstel Latão,,26,Venda,,,-6
,30/01/2024 23:25,Sprite 2L,,146,Venda,,,-1
,30/01/2024 23:21,Dunhill Calton,,45,Venda,,,-1
,30/01/2024 23:02,Petra Latão,,30,Venda,,,-1
,30/01/2024 23:01,Monster Ultra 473ml,,73,Venda,,,-1
,30/01/2024 23:00,Heineken Latão,,3,Venda,,,-6
,30/01/2024 22:43,Isqueiro Mini,,49,Venda,,,-1
,,,,,,,,
,8,, / 145,,,,"Gerado em 03/04/24
21:59:59",
,,,,,,,,
,,,,,,,,
,Histórico de estoque,,,,,,,
,Data,Produto,,Código,Movimentação,,,Qtd
,30/01/2024 22:43,Itaipava Latão,,28,Venda,,,-1
,30/01/2024 22:38,Dunhill Calton,,45,Venda,,,-1
,30/01/2024 22:38,Spaten 600ml ,,12,Venda,,,-5
,30/01/2024 22:25,Amstel Latão,,26,Venda,,,-1
,30/01/2024 22:25,Heineken Long Neck,,1,Venda,,,-2
,30/01/2024 22:24,Spaten Latão,,11,Venda,,,-1
,30/01/2024 22:12,Fanta Uva 350ml,,66,Venda,,,-1
,30/01/2024 22:10,Pink Moon 600ml,,117,Venda,,,-2
,30/01/2024 22:08,Itaipava Latão,,28,Venda,,,-1
,30/01/2024 21:58,Coca Cola 2L,,58,Venda,,,-1
,,,,,,,,
,9,, / 145,,,,"Gerado em 03/04/24
21:59:59",
,,,,,,,,
,,,,,,,,
,Histórico de estoque,,,,,,,
,Data,Produto,,Código,Movimentação,,,Qtd
,30/01/2024 21:46,Sprite 2L,,146,Venda,,,-1
,30/01/2024 21:43,Rothmans Vermelho,,47,Produto,,,-1
,30/01/2024 21:43,Rothmans Vermelho,,47,Produto,,,-1
,30/01/2024 21:40,Amstel Latão,,26,Venda,,,-6
,30/01/2024 21:37,Zumbitos Costela na brasa 100g,,189,Produto,,,-1
,30/01/2024 21:36,Guaraná UAI 2L,,176,Produto,,,-1
,30/01/2024 21:36,Coca Cola 2L,,58,Produto,,,+1
,30/01/2024 21:33,Coca Cola 2L,,58,Venda,,,-1
,30/01/2024 21:33,Zumbitos Cebola 100g,,186,Venda,,,-1
,30/01/2024 21:33,Zumbitos Churrasco 100g,,188,Venda,,,-1
,,,,,,,,
,10,, / 145,,,,"Gerado em 03/04/24
21:59:59",
,,,,,,,,
,,,,,,,,
,Histórico de estoque,,,,,,,
,Data,Produto,,Código,Movimentação,,,Qtd
,30/01/2024 21:30,Lucky Strike Double Fresh,,44,Venda,,,-1
,30/01/2024 21:30,Itaipava Latão,,28,Venda,,,-2
,30/01/2024 21:03,Coca Cola 2L Retornável,,60,Venda,,,-1
,30/01/2024 20:59,Itaipava Latão,,28,Venda,,,-3
,30/01/2024 20:59,Brahma Latão,,19,Venda,,,-1
,30/01/2024 20:37,Cachaça Chora Rita,,113,Venda,,,-1
,30/01/2024 20:33,Brahma Latão,,19,Venda,,,-1
,30/01/2024 20:16,Fanta Laranja 2L,,63,Venda,,,-1
,30/01/2024 20:16,Itaipava Latão,,28,Venda,,,-3
,30/01/2024 19:59,Rothmans Global,,177,Venda,,,-1
,,,,,,,,
,11,, / 145,,,,"Gerado em 03/04/24
21:59:59",
,,,,,,,,
,,,,,,,,
,Histórico de estoque,,,,,,,
,Data,Produto,,Código,Movimentação,,,Qtd
,30/01/2024 19:48,Amstel Latão,,26,Produto,,,+48
,30/01/2024 19:47,Amstel 1L,,27,Produto,,,+24
,30/01/2024 19:45,Lucky Strike Vermelho,,43,Venda,,,-1
